disease,cause,symptoms,treatment,prevention
"Borges RCF, Fontes MG, Macedo MA, Lima MF, Boiteux LS, Fonseca MEN (2019) First Report of Tomato Chlorosis Virus Infecting Tectona grandis Associated with Infestation of Bemisia tabaci Mediterranean in Central Brazil. Plant Disease 103(10): 2704",First report of Tomato Chlorosis Virus infecting Tectona grandis linked to Bemisia tabaci Mediterranean infestation,,,
Catalogue of Life: 2010 Annual Checklist (http://www.catalogueoflife. org/annual-checklist/2010/details/species/id/7044766),2010,,,
"Dhileepan K., Balu, A., Murugesan, S., Senthilkumar, P. and Shivas, R.G., 2013. Survey and prioritisation of potential biological control agents for prickly acacia (Acacia nilotica subsp. indica) in southern India. Biocontrol Science and Technology, 23(6), pp.646-664.",Survey and prioritisation of biological control agents for prickly acacia in southern India,,,
"Ghosh, S.K., Balasundaram, M. and Ali, M.M., 1985. Studies on the spike disease of sandal. Division of Pathology, Kerala Forest Research Institute.",Spike disease of sandal,,,
"Kumar, A.M., Muthukrishnan, R. and Pandey, A.K., 2014. Decline of Melia dubia (Hebbevu) plantations at South Bangalore, Karnataka. Current Biotic, 8(1), pp. 82-85.","Melia dubia (Hebbevu) plantations' decline at South Bangalore, Karnataka",,,
"Kumar, D. and Singh, N.B., 2012. Status of poplar introduction in India. Forestry Bulletin, 18(1), pp.9-14.",Status of poplar introduction in India,,,
"Lakhey, P.; Pathak, J. & Adhikari, B. (2020). ""Dalbergia sissoo"". IUCN Red List of Threatened Species. 2020:e.T60222617A60222619.",Dalbergia sissoo,,,
"Mohanan, C. 1994. Diseases of bamboos and rattans in Kerala. KFRI Research Report No.98, Peechi, KFRI. 120p.",Diseases of bamboos and rattans in Kerala,,,
"Mohanan, C. 1994. Studies on diseases of bamboos and nursery management of Rhizoctonia web blight in Kerala. Ph.D. thesis. Cochin University of Science and Technology, Cochin.","Mohanan, C", in 1994,,
"Anuagasi CL, Onuorah JA, Okigbo RN (2017) Fungal pathogens affecting seedlings of Gmelina arborea Roxb and Tectona grandis Lf effect of three plant extracts. IJAT 13: 307-330.",Fungal pathogens affecting seedlings of Gmelina arborea Roxb and Tectona grandis Lf,,,
"Borges RCF, Fontes MG, Macedo MA, Lima MF, Boiteux LS, Fonseca MEN (2019) First Report of Tomato Chlorosis Virus Infecting Tectona grandis Associated with Infestation of Bemisia tabaci Mediterranean in Central Brazil. Plant Disease 103(10): 2704",2019,,,
"Arun Kumar AK, Geeta J (2012). Incidence of sandal spike symptoms in a one-year-old plantation in Karnataka. Current Science, 103(6), p.613.",Sandal trees in a one-year-old plantation,,,
Catalogue of Life: 2010 Annual Checklist (http://www.catalogueoflife. org/annual-checklist/2010/details/species/id/7044766),Catalogue of Life published it to provide a comprehensive list of species,,,
"Anuagasi CL, Onuorah JA, Okigbo RN (2017) Fungal pathogens affecting seedlings of Gmelina arborea Roxb and Tectona grandis Lf effect of three plant extracts. IJAT 13: 307-330.",Study on fungal pathogens affecting seedlings of Gmelina arborea Roxb and Tectona grandis Lf,,,
"Borges RCF, Rosatto M, Maria do Deserto MS, Cabral CS, Albuquerque CMR, Ferreira MA, Fonseca MEN, Boiteux LS (2019) A leaf spot of Tectona grandis caused by Xanthomonas fuscans in Brazil. Journal of Plant Pathology 101(2):431-431",Xanthomonas fuscans causing a leaf spot,,,
"Kumar, A.M., Muthukrishnan, R. and Pandey, A.K., 2014. Decline of Melia dubia (Hebbevu) plantations at South Bangalore, Karnataka. Current Biotic, 8(1), pp. 82-85.","Decline of Melia dubia (Hebbevu) plantations at South Bangalore, Karnataka",,,
"Kumar, D. and Singh, N.B., 2012. Status of poplar introduction in India. Forestry Bulletin, 12(1), pp.9-14.",Poplar,,,
"Mohanan, C., 2014. Diseases in Eucalyptus: status and management.",Diseases in Eucalyptus: status and management,,,
"Mohanan, C., 2014. Diseases in Eucalyptus: status and management.",Eucalyptus,,,
"Mohd Farid A, Lee SS, Maziah Z, Rosli H, Norwati M (2005) Basal Root Rot, a new Disease of Teak (Tectona grandis) in Malaysia caused by Phlebiopsis nothofagi.",Basal Root Rot,,,
"Muthulakshmi, P., Naresh, S., Rajamanickam, S. and Parthasarathy, S., 2016. Identification and morphological characterization of pathogens infecting Melia dubia in Tamil Nadu.",2016,,,
"Old, K.M., Wingfield, M.J. and Yuan, Z.Q., 2003. A manual of diseases of Eucalyptus in South-East Asia.",Diseases of Eucalyptus,,,
"Osorio, P.R.A., Leão, E.U., Ferreira, T.P.D.S., Alves, M.V.G., Sarmento, R.D.A. and Santos, G.R.D., 2019. Morphology and infection process of Oliveneotectonae in teak leaves.",Oliveneotectonae,,,
"Pandey, A., Juwanthra, R., Chandra, S., Kumar, A., Kannojia, P., Khanna, D., Arora, S., Dwivedi, V.D. and Pandey, S., 2018. First report of Fusarium solani causing wilt of Melia dubia.",Fusarium solani,,,
"Mohd Farid A., Lee S.S., Maziah Z., Rosli, H. and Norwati, M., 2005. Basal Root Rot, a new Disease of Teak (Tectona grandis) in Malaysia caused by Phlebiopsis noxia. Malaysian Journal of Microbiology, 1(2), pp.40-45.",40-45,,,
"Sharma, P., Singh, N. and Verma, O.P., 2012. First report of Curvularia leaf spot caused by Curvularia affinis on Dalbergia sissoo.",Curvularia leaf spot,,,
"Mohd Farid A., Lee S.S., Maziah Z., Rosli H. and Norwati M., 2005. Basal Root Rot, a new Disease of Teak (Tectona grandis) in Malaysia caused by Phlebiopsis noxia.",Phlebiopsis noxia,,,
"Remadevi, O.K., Nagarveni, H.C. and Muthukrishnan, R., 2005. Pests and diseases of sandalwood plants in nurseries and their management.",Pests and diseases management in nurseries,,,
"Simamora, A.V., Stukely, M.J.C., Barber, P.A., Hardy, G.S. and Burgess, T.I., 2017. Age-related susceptibility of Eucalyptus species to Phytophthora niederhauserii.",2017,,,
SG Gill; KC Chauhan; HN Khajuria and Rajni Chauhan (2006) Shisham and Kikar Mortality in India.,Book,,,
"Muthulakshmi, P., Naresh, S., Rajamanickam, S. and Parthasarathy, S., 2016. Identification and morphological characterization of pathogens infecting Melia dubia in Tamil Nadu.",Pathogens infecting Melia dubia,,,
"Remadevi, O.K., Nagarveni, H.C. and Muthukrishnan, R., 2005. Pests and diseases of sandalwood plants in nurseries and their management.",Sandalwood,,,
"Pandey, A., Juwanthra, R., Chandra, S., Kumar, A., Kannojia, P., Khanna, D., Arora, S., Dwivedi, V.D. and Pandey, S., 2018. First report of Fusarium solani causing wilt of Melia dubia. Forest pathology, 48(1). e12398.",Forest pathology,,,
"Steenkacers, J., Steenackers, M., Steenkacers, V. and Stevens, M., 1996. Poplar diseases, consequences on growth and wood quality.","Diseases, growth, and wood quality",,,
"Old, K.M., Wingfield, M.J. and Yuan, Z.Q., 2003. A manual of diseases of Eucalyptus in South-East Asia.",South-East Asia,,,
"Thiele, K.R., Funk, V.A., Iwatsuki, K., Morat, P., Peng, C.I., Raven, P.H., Sarukhán, J., Seberg, O., McNeill, J., Orchard, A.E. and David, J.C., 2011. The controversy over the retypification of Acacia Mill. with an Australian type: a pragmatic view. Taxon, 60(1), pp.194-198.",The controversy over the retypification of Acacia Mill, with an Australian type: a pragmatic view,,
"Thiele, K.R., Funk, V.A., Iwatsuki, K., Morat, P., Peng, C.I., Raven, P.H., Sarukhán, J., Seberg, O., McNeill, J., Orchard, A.E. and David, J.C., 2011. The controversy over the retypification of Acacia Mill. with an Australian type: a pragmatic view. Taxon, 60(1), pp.194-198.",Taxon,,,
"Thiele, K.R., Funk, V.A., Iwatsuki, K., Morat, P., Peng, C.I., Raven, P.H., Sarukhán, J., Seberg, O., McNeill, J., Orchard, A.E. and David, J.C., 2011. The controversy over the retypification of Acacia Mill. with an Australian type: a pragmatic view. Taxon, 60(1), pp.194-198.",Volume 60(1),,,
"Thiele, K.R., Funk, V.A., Iwatsuki, K., Morat, P., Peng, C.I., Raven, P.H., Sarukhán, J., Seberg, O., McNeill, J., Orchard, A.E. and David, J.C., 2011. The controversy over the retypification of Acacia Mill. with an Australian type: a pragmatic view. Taxon, 60(1), pp.194-198.","Thiele, K",R,", Funk, V",A
"Wahounou, P.J., Coulibaly, B., Gnonhouori, G.P. and Adiko, A., 2017. Teak (Tectona grandis) decay associated with Verticillium sp. and Fomes sp. within reforestation areas in Côte d'Ivoire. Journal of Tropical Forest Science, pp.363-370.",Verticillium sp, and Fomes sp,,
"Wahounou, P.J., Coulibaly, B., Gnonhouori, G.P. and Adiko, A., 2017. Teak (Tectona grandis) decay associated with Verticillium sp. and Fomes sp. within reforestation areas in Côte d'Ivoire. Journal of Tropical Forest Science, pp.363-370.",2017,,,
"Wahounou, P.J., Coulibaly, B., Gnonhouori, G.P. and Adiko, A., 2017. Teak (Tectona grandis) decay associated with Verticillium sp. and Fomes sp. within reforestation areas in Côte d'Ivoire. Journal of Tropical Forest Science, pp.363-370.","Wahounou, P",J,", Coulibaly, B",", Gnonhouori, G"
"Wahounou, P.J., Coulibaly, B., Gnonhouori, G.P. and Adiko, A., 2017. Teak (Tectona grandis) decay associated with Verticillium sp. and Fomes sp. within reforestation areas in Côte d'Ivoire. Journal of Tropical Forest Science, pp.363-370.",Journal of Tropical Forest Science,,,
"Thiele, K.R., Funk, V.A., Iwatsuki, K., Morat, P., Peng, C.I., Raven, P.H., Sarukhán, J., Seberg, O., McNeill, J., Orchard, A.E. and David, J.C., 2011. The controversy over the retypification of Acacia Mill. with an Australian type: a pragmatic view. Taxon, 60(1), pp.194-198.",The retypification of Acacia Mill, with an Australian type,,
"Ukoima HN, Akpan EE, Pepple GA (2013) Identification and Control of Fungal Pathogens of Tectona grandis (LF) Seedlings in Akwa Ibom State, Nigeria. International Research Journal of Plant Sciences 4:12-18",Fungal pathogens of Tectona grandis (LF) seedlings,,,
"Ukoima HN, Akpan EE, Pepple GA (2013) Identification and Control of Fungal Pathogens of Tectona grandis (LF) Seedlings in Akwa Ibom State, Nigeria. International Research Journal of Plant Sciences 4:12-18",International Research Journal of Plant Sciences,,,
"Ukoima HN, Akpan EE, Pepple GA (2013) Identification and Control of Fungal Pathogens of Tectona grandis (LF) Seedlings in Akwa Ibom State, Nigeria. International Research Journal of Plant Sciences 4:12-18","Ukoima HN, Akpan EE, Pepple GA",,,
"Ukoima HN, Akpan EE, Pepple GA (2013) Identification and Control of Fungal Pathogens of Tectona grandis (LF) Seedlings in Akwa Ibom State, Nigeria. International Research Journal of Plant Sciences 4:12-18","Ukoima HN, Akpan EE, Pepple GA (2013)",,,
"Ukoima HN, Akpan EE, Pepple GA (2013) Identification and Control of Fungal Pathogens of Tectona grandis (LF) Seedlings in Akwa Ibom State, Nigeria. International Research Journal of Plant Sciences 4:12-18","Akwa Ibom State, Nigeria",,,
"Wahounou, P.J., Coulibaly, B., Gnonhouori, G.P. and Adiko, A., 2017. Teak (Tectona grandis) decay associated with Verticillium sp. and Fomes sp. within reforestation areas in Côte d'Ivoire. Journal of Tropical Forest Science, pp.363-370.",Teak (Tectona grandis) decay associated with Verticillium sp, and Fomes sp, in reforestation areas,
